;vars1;vars2;cramer_corr;actuacion;nivel;Identificador_pregunta
0;ttorg;ttrel;0,605057;Relaciones;todos 2;ttrel
1;ttent;ttrel;0,475846;Relaciones;todos 2;ttrel
2;trit;ttrel;0,456297;Relaciones;todos 2;ttrel
3;nnorg;ttrel;0,451495;Relaciones;todos 2;ttrel
4;ttcon;ttrel;0,450272;Relaciones;todos 2;ttrel
5;ttemp;ttrel;0,423839;Relaciones;todos 2;ttrel
6;temp;ttrel;0,375287;Relaciones;todos 2;ttrel
7;tsup;ttrel;0,374012;Relaciones;todos 2;ttrel
8;ttlid;ttrel;0,366632;Relaciones;todos 2;ttrel
9;nnrit;ttrel;0,355084;Relaciones;todos 2;ttrel
10;ttom;ttrel;0,343395;Relaciones;todos 2;ttrel
11;nnlid;ttrel;0,338242;Relaciones;todos 2;ttrel
12;nnemp;ttrel;0,322374;Relaciones;todos 2;ttrel
13;tlid;ttrel;0,317975;Relaciones;todos 2;ttrel
14;ttcox;ttrel;0,314053;Relaciones;todos 2;ttrel
15;tada;ttrel;0,299791;Relaciones;todos 2;ttrel
16;nncom;ttrel;0,296437;Relaciones;todos 2;ttrel
17;torg;ttrel;0,295649;Relaciones;todos 2;ttrel
18;nnpro;ttrel;0,289266;Relaciones;todos 2;ttrel
19;ttpro;ttrel;0,286261;Relaciones;todos 2;ttrel
20;ttret;ttrel;0,281494;Relaciones;todos 2;ttrel
21;nncox;ttrel;0,279296;Relaciones;todos 2;ttrel
22;nlid;ttrel;0,279117;Relaciones;todos 2;ttrel
23;nnpay;ttrel;0,277893;Relaciones;todos 2;ttrel
24;nsup;ttrel;0,270953;Relaciones;todos 2;ttrel
25;nret;ttrel;0,268478;Relaciones;todos 2;ttrel
26;tcon;ttrel;0,261821;Relaciones;todos 2;ttrel
27;nncon;ttrel;0,259465;Relaciones;todos 2;ttrel
28;tpay;ttrel;0,258581;Relaciones;todos 2;ttrel
29;nent;ttrel;0,256889;Relaciones;todos 2;ttrel
30;tcox;ttrel;0,256581;Relaciones;todos 2;ttrel
31;tcom;ttrel;0,256313;Relaciones;todos 2;ttrel
32;nrel;ttrel;0,251401;Relaciones;todos 2;ttrel
33;norg;ttrel;0,247384;Relaciones;todos 2;ttrel
34;nrec;ttrel;0,241555;Relaciones;todos 2;ttrel
35;tpro;ttrel;0,235861;Relaciones;todos 2;ttrel
36;tequ;ttrel;0,223483;Relaciones;todos 2;ttrel
37;ntom;ttrel;0,22109;Relaciones;todos 2;ttrel
38;tcov;ttrel;0,210333;Relaciones;todos 2;ttrel
39;ninn;ttrel;0,210274;Relaciones;todos 2;ttrel
40;tret;ttrel;0,205088;Relaciones;todos 2;ttrel
41;tent;ttrel;0,201024;Relaciones;todos 2;ttrel
42;trel;ttrel;0,200961;Relaciones;todos 2;ttrel
43;ttrit;ttrel;0,198786;Relaciones;todos 2;ttrel
44;tinn;ttrel;0,189882;Relaciones;todos 2;ttrel
45;yada;ttrel;0,1876;Relaciones;todos 2;ttrel
46;nrit;ttrel;0,187459;Relaciones;todos 2;ttrel
47;ttpay;ttrel;0,178424;Relaciones;todos 2;ttrel
48;nnada;ttrel;0,17788;Relaciones;todos 2;ttrel
49;ncon;ttrel;0,17544;Relaciones;todos 2;ttrel
50;ttcom;ttrel;0,161746;Relaciones;todos 2;ttrel
51;ypro;ttrel;0,16067;Relaciones;todos 2;ttrel
52;nnequ;ttrel;0,15799;Relaciones;todos 2;ttrel
53;npro;ttrel;0,157724;Relaciones;todos 2;ttrel
54;ttequ;ttrel;0,15514;Relaciones;todos 2;ttrel
55;nnsup;ttrel;0,153187;Relaciones;todos 2;ttrel
56;nemp;ttrel;0,152362;Relaciones;todos 2;ttrel
57;nncov;ttrel;0,151916;Relaciones;todos 2;ttrel
58;nequ;ttrel;0,149777;Relaciones;todos 2;ttrel
59;ncom;ttrel;0,14362;Relaciones;todos 2;ttrel
60;ncov;ttrel;0,141246;Relaciones;todos 2;ttrel
61;trec;ttrel;0,138091;Relaciones;todos 2;ttrel
62;edad;ttrel;0,135404;Relaciones;todos 2;ttrel
63;ttrec;ttrel;0,131863;Relaciones;todos 2;ttrel
64;nnret;ttrel;0,129061;Relaciones;todos 2;ttrel
65;nnrec;ttrel;0,127638;Relaciones;todos 2;ttrel
66;ttinn;ttrel;0,125985;Relaciones;todos 2;ttrel
67;area;ttrel;0,117823;Relaciones;todos 2;ttrel
68;nnent;ttrel;0,115791;Relaciones;todos 2;ttrel
69;npay;ttrel;0,109253;Relaciones;todos 2;ttrel
70;ycox;ttrel;0,102573;Relaciones;todos 2;ttrel
71;estado civil;ttrel;0,10158;Relaciones;todos 2;ttrel
72;ncox;ttrel;0,096466;Relaciones;todos 2;ttrel
73;yrel;ttrel;0,096367;Relaciones;todos 2;ttrel
74;yemp;ttrel;0,095296;Relaciones;todos 2;ttrel
75;ycom;ttrel;0,092207;Relaciones;todos 2;ttrel
76;tttom;ttrel;0,087799;Relaciones;todos 2;ttrel
77;antigüedad en la organización;ttrel;0,081836;Relaciones;todos 2;ttrel
78;nada;ttrel;0,076897;Relaciones;todos 2;ttrel
79;ylid;ttrel;0,069395;Relaciones;todos 2;ttrel
80;hijos;ttrel;0,066515;Relaciones;todos 2;ttrel
81;nninn;ttrel;0,057348;Relaciones;todos 2;ttrel
82;yret;ttrel;0,052312;Relaciones;todos 2;ttrel
83;educacion;ttrel;0,047725;Relaciones;todos 2;ttrel
84;nntom;ttrel;0,043157;Relaciones;todos 2;ttrel
85;yrec;ttrel;0,0;Relaciones;todos 2;ttrel
86;ypay;ttrel;0,0;Relaciones;todos 2;ttrel
87;ttcov;ttrel;0,0;Relaciones;todos 2;ttrel
88;yorg;ttrel;0,0;Relaciones;todos 2;ttrel
89;ttada;ttrel;0,0;Relaciones;todos 2;ttrel
90;yequ;ttrel;0,0;Relaciones;todos 2;ttrel
91;antigüedad en el cargo;ttrel;0,0;Relaciones;todos 2;ttrel
92;ycon;ttrel;0,0;Relaciones;todos 2;ttrel
93;yinn;ttrel;0,0;Relaciones;todos 2;ttrel
94;ytom;ttrel;0,0;Relaciones;todos 2;ttrel
95;nnrel;ttrel;0,0;Relaciones;todos 2;ttrel
96;ysup;ttrel;0,0;Relaciones;todos 2;ttrel
97;genero;ttrel;0,0;Relaciones;todos 2;ttrel
98;yrit;ttrel;0,0;Relaciones;todos 2;ttrel
99;yent;ttrel;0,0;Relaciones;todos 2;ttrel
100;nivel del cargo;ttrel;0,0;Relaciones;todos 2;ttrel
101;ycov;ttrel;0,0;Relaciones;todos 2;ttrel
102;tcom;tcov;0,556584;Conversaciones;todos 1;tcov
103;trit;tcov;0,372409;Conversaciones;todos 1;tcov
104;nncom;tcov;0,352897;Conversaciones;todos 1;tcov
105;nnrec;tcov;0,349821;Conversaciones;todos 1;tcov
106;tequ;tcov;0,344533;Conversaciones;todos 1;tcov
107;tpay;tcov;0,337536;Conversaciones;todos 1;tcov
108;tcon;tcov;0,320535;Conversaciones;todos 1;tcov
109;nsup;tcov;0,312497;Conversaciones;todos 1;tcov
110;nnlid;tcov;0,311386;Conversaciones;todos 1;tcov
111;nnrit;tcov;0,301437;Conversaciones;todos 1;tcov
112;tpro;tcov;0,300222;Conversaciones;todos 1;tcov
113;nnequ;tcov;0,291942;Conversaciones;todos 1;tcov
114;tret;tcov;0,289696;Conversaciones;todos 1;tcov
115;nequ;tcov;0,279698;Conversaciones;todos 1;tcov
116;yrit;tcov;0,27722;Conversaciones;todos 1;tcov
117;nent;tcov;0,27712;Conversaciones;todos 1;tcov
118;nnemp;tcov;0,27568;Conversaciones;todos 1;tcov
119;tcox;tcov;0,268315;Conversaciones;todos 1;tcov
120;nrel;tcov;0,265486;Conversaciones;todos 1;tcov
121;norg;tcov;0,262083;Conversaciones;todos 1;tcov
122;nncox;tcov;0,252828;Conversaciones;todos 1;tcov
123;nlid;tcov;0,25178;Conversaciones;todos 1;tcov
124;npro;tcov;0,248433;Conversaciones;todos 1;tcov
125;trec;tcov;0,247411;Conversaciones;todos 1;tcov
126;nnpay;tcov;0,244692;Conversaciones;todos 1;tcov
127;ncox;tcov;0,2414;Conversaciones;todos 1;tcov
128;nnada;tcov;0,236352;Conversaciones;todos 1;tcov
129;nnpro;tcov;0,22991;Conversaciones;todos 1;tcov
130;ntom;tcov;0,227227;Conversaciones;todos 1;tcov
131;nemp;tcov;0,227202;Conversaciones;todos 1;tcov
132;nada;tcov;0,221754;Conversaciones;todos 1;tcov
133;nncon;tcov;0,220825;Conversaciones;todos 1;tcov
134;ninn;tcov;0,219182;Conversaciones;todos 1;tcov
135;ncom;tcov;0,216821;Conversaciones;todos 1;tcov
136;nrit;tcov;0,214866;Conversaciones;todos 1;tcov
137;nnret;tcov;0,214079;Conversaciones;todos 1;tcov
138;tlid;tcov;0,213796;Conversaciones;todos 1;tcov
139;yada;tcov;0,213161;Conversaciones;todos 1;tcov
140;nrec;tcov;0,212324;Conversaciones;todos 1;tcov
141;ycom;tcov;0,208198;Conversaciones;todos 1;tcov
142;ncov;tcov;0,206732;Conversaciones;todos 1;tcov
143;torg;tcov;0,201055;Conversaciones;todos 1;tcov
144;yemp;tcov;0,200666;Conversaciones;todos 1;tcov
145;nnsup;tcov;0,19562;Conversaciones;todos 1;tcov
146;yrec;tcov;0,182871;Conversaciones;todos 1;tcov
147;nntom;tcov;0,180816;Conversaciones;todos 1;tcov
148;nret;tcov;0,175389;Conversaciones;todos 1;tcov
149;ysup;tcov;0,160446;Conversaciones;todos 1;tcov
150;yent;tcov;0,15721;Conversaciones;todos 1;tcov
151;nnorg;tcov;0,155488;Conversaciones;todos 1;tcov
152;ycov;tcov;0,141562;Conversaciones;todos 1;tcov
153;npay;tcov;0,13965;Conversaciones;todos 1;tcov
154;educacion;tcov;0,134956;Conversaciones;todos 1;tcov
155;ylid;tcov;0,123381;Conversaciones;todos 1;tcov
156;yequ;tcov;0,114002;Conversaciones;todos 1;tcov
157;area;tcov;0,099475;Conversaciones;todos 1;tcov
158;ncon;tcov;0,099324;Conversaciones;todos 1;tcov
159;ytom;tcov;0,097826;Conversaciones;todos 1;tcov
160;yrel;tcov;0,095045;Conversaciones;todos 1;tcov
161;ypro;tcov;0,079934;Conversaciones;todos 1;tcov
162;estado civil;tcov;0,0694;Conversaciones;todos 1;tcov
163;nninn;tcov;0,052662;Conversaciones;todos 1;tcov
164;ycon;tcov;0,049127;Conversaciones;todos 1;tcov
165;ycox;tcov;0,019939;Conversaciones;todos 1;tcov
166;antigüedad en la organización;tcov;0,0;Conversaciones;todos 1;tcov
167;yret;tcov;0,0;Conversaciones;todos 1;tcov
168;antigüedad en el cargo;tcov;0,0;Conversaciones;todos 1;tcov
169;yorg;tcov;0,0;Conversaciones;todos 1;tcov
170;ypay;tcov;0,0;Conversaciones;todos 1;tcov
171;edad;tcov;0,0;Conversaciones;todos 1;tcov
172;nivel del cargo;tcov;0,0;Conversaciones;todos 1;tcov
173;nncov;tcov;0,0;Conversaciones;todos 1;tcov
174;yinn;tcov;0,0;Conversaciones;todos 1;tcov
175;nnrel;tcov;0,0;Conversaciones;todos 1;tcov
176;genero;tcov;0,0;Conversaciones;todos 1;tcov
177;hijos;tcov;0,0;Conversaciones;todos 1;tcov
178;nnent;tcov;0,0;Conversaciones;todos 1;tcov
179;ncom;ncov;0,55585;Conversaciones;nosotros 1;ncov
180;nrec;ncov;0,401796;Conversaciones;nosotros 1;ncov
181;nret;ncov;0,3904;Conversaciones;nosotros 1;ncov
182;norg;ncov;0,358326;Conversaciones;nosotros 1;ncov
183;nlid;ncov;0,345597;Conversaciones;nosotros 1;ncov
184;ylid;ncov;0,272828;Conversaciones;nosotros 1;ncov
185;nrit;ncov;0,272608;Conversaciones;nosotros 1;ncov
186;ncon;ncov;0,268553;Conversaciones;nosotros 1;ncov
187;npay;ncov;0,258901;Conversaciones;nosotros 1;ncov
188;ncox;ncov;0,227714;Conversaciones;nosotros 1;ncov
189;npro;ncov;0,204114;Conversaciones;nosotros 1;ncov
190;nequ;ncov;0,188625;Conversaciones;nosotros 1;ncov
191;ycov;ncov;0,168939;Conversaciones;nosotros 1;ncov
192;ycox;ncov;0,165604;Conversaciones;nosotros 1;ncov
193;yinn;ncov;0,147803;Conversaciones;nosotros 1;ncov
194;ysup;ncov;0,147044;Conversaciones;nosotros 1;ncov
195;yorg;ncov;0,122294;Conversaciones;nosotros 1;ncov
196;hijos;ncov;0,116674;Conversaciones;nosotros 1;ncov
197;yequ;ncov;0,113385;Conversaciones;nosotros 1;ncov
198;estado civil;ncov;0,108134;Conversaciones;nosotros 1;ncov
199;yemp;ncov;0,098481;Conversaciones;nosotros 1;ncov
200;ytom;ncov;0,075579;Conversaciones;nosotros 1;ncov
201;ycon;ncov;0,063563;Conversaciones;nosotros 1;ncov
202;yrec;ncov;0,0;Conversaciones;nosotros 1;ncov
203;educacion;ncov;0,0;Conversaciones;nosotros 1;ncov
204;ypro;ncov;0,0;Conversaciones;nosotros 1;ncov
205;antigüedad en el cargo;ncov;0,0;Conversaciones;nosotros 1;ncov
206;yrit;ncov;0,0;Conversaciones;nosotros 1;ncov
207;edad;ncov;0,0;Conversaciones;nosotros 1;ncov
208;ypay;ncov;0,0;Conversaciones;nosotros 1;ncov
209;yret;ncov;0,0;Conversaciones;nosotros 1;ncov
210;antigüedad en la organización;ncov;0,0;Conversaciones;nosotros 1;ncov
211;yada;ncov;0,0;Conversaciones;nosotros 1;ncov
212;yrel;ncov;0,0;Conversaciones;nosotros 1;ncov
213;area;ncov;0,0;Conversaciones;nosotros 1;ncov
214;nivel del cargo;ncov;0,0;Conversaciones;nosotros 1;ncov
215;ycom;ncov;0,0;Conversaciones;nosotros 1;ncov
216;yent;ncov;0,0;Conversaciones;nosotros 1;ncov
217;genero;ncov;0,0;Conversaciones;nosotros 1;ncov
218;norg;ntom;0,554193;Toma de decisiones;nosotros 1;ntom
219;nlid;ntom;0,50161;Toma de decisiones;nosotros 1;ntom
220;nret;ntom;0,467484;Toma de decisiones;nosotros 1;ntom
221;nrec;ntom;0,431998;Toma de decisiones;nosotros 1;ntom
222;ncov;ntom;0,403498;Toma de decisiones;nosotros 1;ntom
223;ncom;ntom;0,389279;Toma de decisiones;nosotros 1;ntom
224;nrit;ntom;0,29995;Toma de decisiones;nosotros 1;ntom
225;ninn;ntom;0,296543;Toma de decisiones;nosotros 1;ntom
226;nent;ntom;0,296181;Toma de decisiones;nosotros 1;ntom
227;ncox;ntom;0,25486;Toma de decisiones;nosotros 1;ntom
228;ylid;ntom;0,253577;Toma de decisiones;nosotros 1;ntom
229;nequ;ntom;0,229878;Toma de decisiones;nosotros 1;ntom
230;nada;ntom;0,215075;Toma de decisiones;nosotros 1;ntom
231;npro;ntom;0,203903;Toma de decisiones;nosotros 1;ntom
232;ypay;ntom;0,175504;Toma de decisiones;nosotros 1;ntom
233;npay;ntom;0,172129;Toma de decisiones;nosotros 1;ntom
234;ycom;ntom;0,171248;Toma de decisiones;nosotros 1;ntom
235;ncon;ntom;0,160302;Toma de decisiones;nosotros 1;ntom
236;ycox;ntom;0,152053;Toma de decisiones;nosotros 1;ntom
237;area;ntom;0,122714;Toma de decisiones;nosotros 1;ntom
238;yrec;ntom;0,119506;Toma de decisiones;nosotros 1;ntom
239;yrel;ntom;0,113277;Toma de decisiones;nosotros 1;ntom
240;antigüedad en la organización;ntom;0,107102;Toma de decisiones;nosotros 1;ntom
241;estado civil;ntom;0,10386;Toma de decisiones;nosotros 1;ntom
242;ypro;ntom;0,103287;Toma de decisiones;nosotros 1;ntom
243;educacion;ntom;0,099828;Toma de decisiones;nosotros 1;ntom
244;yada;ntom;0,089123;Toma de decisiones;nosotros 1;ntom
245;yrit;ntom;0,073542;Toma de decisiones;nosotros 1;ntom
246;yemp;ntom;0,050019;Toma de decisiones;nosotros 1;ntom
247;edad;ntom;0,032215;Toma de decisiones;nosotros 1;ntom
248;antigüedad en el cargo;ntom;0,0;Toma de decisiones;nosotros 1;ntom
249;hijos;ntom;0,0;Toma de decisiones;nosotros 1;ntom
250;yequ;ntom;0,0;Toma de decisiones;nosotros 1;ntom
251;ycon;ntom;0,0;Toma de decisiones;nosotros 1;ntom
252;yret;ntom;0,0;Toma de decisiones;nosotros 1;ntom
253;yinn;ntom;0,0;Toma de decisiones;nosotros 1;ntom
254;ytom;ntom;0,0;Toma de decisiones;nosotros 1;ntom
255;yorg;ntom;0,0;Toma de decisiones;nosotros 1;ntom
256;nivel del cargo;ntom;0,0;Toma de decisiones;nosotros 1;ntom
257;ycov;ntom;0,0;Toma de decisiones;nosotros 1;ntom
258;ysup;ntom;0,0;Toma de decisiones;nosotros 1;ntom
259;genero;ntom;0,0;Toma de decisiones;nosotros 1;ntom
260;yent;ntom;0,0;Toma de decisiones;nosotros 1;ntom
261;trit;ttcon;0,545006;Contribucion;todos 2;ttcon
262;ttorg;ttcon;0,382881;Contribucion;todos 2;ttcon
263;tpro;ttcon;0,359367;Contribucion;todos 2;ttcon
264;nent;ttcon;0,349125;Contribucion;todos 2;ttcon
265;tlid;ttcon;0,346728;Contribucion;todos 2;ttcon
266;nncom;ttcon;0,341635;Contribucion;todos 2;ttcon
267;tsup;ttcon;0,339658;Contribucion;todos 2;ttcon
268;ylid;ttcon;0,327276;Contribucion;todos 2;ttcon
269;nrel;ttcon;0,315776;Contribucion;todos 2;ttcon
270;torg;ttcon;0,308961;Contribucion;todos 2;ttcon
271;nsup;ttcon;0,30444;Contribucion;todos 2;ttcon
272;tcon;ttcon;0,302817;Contribucion;todos 2;ttcon
273;temp;ttcon;0,291491;Contribucion;todos 2;ttcon
274;trec;ttcon;0,289531;Contribucion;todos 2;ttcon
275;ttom;ttcon;0,286724;Contribucion;todos 2;ttcon
276;nncox;ttcon;0,28448;Contribucion;todos 2;ttcon
277;nnpay;ttcon;0,280645;Contribucion;todos 2;ttcon
278;ncom;ttcon;0,27187;Contribucion;todos 2;ttcon
279;ntom;ttcon;0,260402;Contribucion;todos 2;ttcon
280;ncov;ttcon;0,257948;Contribucion;todos 2;ttcon
281;nnpro;ttcon;0,254459;Contribucion;todos 2;ttcon
282;tada;ttcon;0,249738;Contribucion;todos 2;ttcon
283;ttequ;ttcon;0,2477;Contribucion;todos 2;ttcon
284;nnlid;ttcon;0,241973;Contribucion;todos 2;ttcon
285;nnret;ttcon;0,241927;Contribucion;todos 2;ttcon
286;nemp;ttcon;0,238836;Contribucion;todos 2;ttcon
287;ttcox;ttcon;0,235036;Contribucion;todos 2;ttcon
288;ninn;ttcon;0,233512;Contribucion;todos 2;ttcon
289;nnrit;ttcon;0,231095;Contribucion;todos 2;ttcon
290;nnorg;ttcon;0,22852;Contribucion;todos 2;ttcon
291;trel;ttcon;0,22494;Contribucion;todos 2;ttcon
292;ncon;ttcon;0,223536;Contribucion;todos 2;ttcon
293;nret;ttcon;0,217819;Contribucion;todos 2;ttcon
294;tcom;ttcon;0,214683;Contribucion;todos 2;ttcon
295;nequ;ttcon;0,212789;Contribucion;todos 2;ttcon
296;npro;ttcon;0,20828;Contribucion;todos 2;ttcon
297;nncon;ttcon;0,205315;Contribucion;todos 2;ttcon
298;tent;ttcon;0,203868;Contribucion;todos 2;ttcon
299;ttpro;ttcon;0,203083;Contribucion;todos 2;ttcon
300;tret;ttcon;0,202447;Contribucion;todos 2;ttcon
301;nnemp;ttcon;0,200358;Contribucion;todos 2;ttcon
302;nninn;ttcon;0,197013;Contribucion;todos 2;ttcon
303;nrit;ttcon;0,195673;Contribucion;todos 2;ttcon
304;norg;ttcon;0,195417;Contribucion;todos 2;ttcon
305;nada;ttcon;0,194489;Contribucion;todos 2;ttcon
306;tcov;ttcon;0,183365;Contribucion;todos 2;ttcon
307;nrec;ttcon;0,17885;Contribucion;todos 2;ttcon
308;nlid;ttcon;0,172945;Contribucion;todos 2;ttcon
309;ncox;ttcon;0,171073;Contribucion;todos 2;ttcon
310;yrec;ttcon;0,168456;Contribucion;todos 2;ttcon
311;ttpay;ttcon;0,164946;Contribucion;todos 2;ttcon
312;ypay;ttcon;0,163269;Contribucion;todos 2;ttcon
313;tequ;ttcon;0,161983;Contribucion;todos 2;ttcon
314;nnada;ttcon;0,161677;Contribucion;todos 2;ttcon
315;nnrec;ttcon;0,16115;Contribucion;todos 2;ttcon
316;nnequ;ttcon;0,147786;Contribucion;todos 2;ttcon
317;tinn;ttcon;0,141181;Contribucion;todos 2;ttcon
318;tcox;ttcon;0,135338;Contribucion;todos 2;ttcon
319;tpay;ttcon;0,132784;Contribucion;todos 2;ttcon
320;ypro;ttcon;0,132753;Contribucion;todos 2;ttcon
321;ycov;ttcon;0,121114;Contribucion;todos 2;ttcon
322;hijos;ttcon;0,094417;Contribucion;todos 2;ttcon
323;nnsup;ttcon;0,094159;Contribucion;todos 2;ttcon
324;npay;ttcon;0,093431;Contribucion;todos 2;ttcon
325;yorg;ttcon;0,080715;Contribucion;todos 2;ttcon
326;nncov;ttcon;0,073942;Contribucion;todos 2;ttcon
327;yret;ttcon;0,071112;Contribucion;todos 2;ttcon
328;yemp;ttcon;0,067168;Contribucion;todos 2;ttcon
329;nntom;ttcon;0,064907;Contribucion;todos 2;ttcon
330;antigüedad en el cargo;ttcon;0,059955;Contribucion;todos 2;ttcon
331;ytom;ttcon;0,04056;Contribucion;todos 2;ttcon
332;ycox;ttcon;0,037624;Contribucion;todos 2;ttcon
333;yinn;ttcon;0,034685;Contribucion;todos 2;ttcon
334;yequ;ttcon;0,026902;Contribucion;todos 2;ttcon
335;genero;ttcon;0,015277;Contribucion;todos 2;ttcon
336;antigüedad en la organización;ttcon;0,0;Contribucion;todos 2;ttcon
337;educacion;ttcon;0,0;Contribucion;todos 2;ttcon
338;ycon;ttcon;0,0;Contribucion;todos 2;ttcon
339;edad;ttcon;0,0;Contribucion;todos 2;ttcon
340;yrit;ttcon;0,0;Contribucion;todos 2;ttcon
341;yrel;ttcon;0,0;Contribucion;todos 2;ttcon
342;area;ttcon;0,0;Contribucion;todos 2;ttcon
343;yada;ttcon;0,0;Contribucion;todos 2;ttcon
344;nnrel;ttcon;0,0;Contribucion;todos 2;ttcon
345;ycom;ttcon;0,0;Contribucion;todos 2;ttcon
346;ysup;ttcon;0,0;Contribucion;todos 2;ttcon
347;nivel del cargo;ttcon;0,0;Contribucion;todos 2;ttcon
348;yent;ttcon;0,0;Contribucion;todos 2;ttcon
349;nnent;ttcon;0,0;Contribucion;todos 2;ttcon
350;estado civil;ttcon;0,0;Contribucion;todos 2;ttcon
351;ntom;nnlid;0,543418;Liderazgo y trabajo en equipo;nosotros 2;nnlid
352;norg;nnlid;0,492437;Liderazgo y trabajo en equipo;nosotros 2;nnlid
353;nrec;nnlid;0,46054;Liderazgo y trabajo en equipo;nosotros 2;nnlid
354;nlid;nnlid;0,442573;Liderazgo y trabajo en equipo;nosotros 2;nnlid
355;nsup;nnlid;0,436965;Liderazgo y trabajo en equipo;nosotros 2;nnlid
356;nret;nnlid;0,401298;Liderazgo y trabajo en equipo;nosotros 2;nnlid
357;ncov;nnlid;0,367276;Liderazgo y trabajo en equipo;nosotros 2;nnlid
358;nnorg;nnlid;0,365724;Liderazgo y trabajo en equipo;nosotros 2;nnlid
359;nncox;nnlid;0,317689;Liderazgo y trabajo en equipo;nosotros 2;nnlid
360;ncom;nnlid;0,296612;Liderazgo y trabajo en equipo;nosotros 2;nnlid
361;nnrec;nnlid;0,274313;Liderazgo y trabajo en equipo;nosotros 2;nnlid
362;nent;nnlid;0,271716;Liderazgo y trabajo en equipo;nosotros 2;nnlid
363;nrel;nnlid;0,264315;Liderazgo y trabajo en equipo;nosotros 2;nnlid
364;nnpro;nnlid;0,246735;Liderazgo y trabajo en equipo;nosotros 2;nnlid
365;nada;nnlid;0,24179;Liderazgo y trabajo en equipo;nosotros 2;nnlid
366;npay;nnlid;0,224194;Liderazgo y trabajo en equipo;nosotros 2;nnlid
367;nrit;nnlid;0,222121;Liderazgo y trabajo en equipo;nosotros 2;nnlid
368;nequ;nnlid;0,209787;Liderazgo y trabajo en equipo;nosotros 2;nnlid
369;nnret;nnlid;0,208248;Liderazgo y trabajo en equipo;nosotros 2;nnlid
370;nemp;nnlid;0,207759;Liderazgo y trabajo en equipo;nosotros 2;nnlid
371;edad;nnlid;0,200486;Liderazgo y trabajo en equipo;nosotros 2;nnlid
372;npro;nnlid;0,199808;Liderazgo y trabajo en equipo;nosotros 2;nnlid
373;yemp;nnlid;0,199186;Liderazgo y trabajo en equipo;nosotros 2;nnlid
374;nnpay;nnlid;0,195153;Liderazgo y trabajo en equipo;nosotros 2;nnlid
375;nncon;nnlid;0,1839;Liderazgo y trabajo en equipo;nosotros 2;nnlid
376;ylid;nnlid;0,177274;Liderazgo y trabajo en equipo;nosotros 2;nnlid
377;ncon;nnlid;0,176058;Liderazgo y trabajo en equipo;nosotros 2;nnlid
378;ycom;nnlid;0,171885;Liderazgo y trabajo en equipo;nosotros 2;nnlid
379;area;nnlid;0,17133;Liderazgo y trabajo en equipo;nosotros 2;nnlid
380;yada;nnlid;0,162766;Liderazgo y trabajo en equipo;nosotros 2;nnlid
381;educacion;nnlid;0,160808;Liderazgo y trabajo en equipo;nosotros 2;nnlid
382;ninn;nnlid;0,160183;Liderazgo y trabajo en equipo;nosotros 2;nnlid
383;yrit;nnlid;0,154593;Liderazgo y trabajo en equipo;nosotros 2;nnlid
384;nnequ;nnlid;0,153738;Liderazgo y trabajo en equipo;nosotros 2;nnlid
385;yequ;nnlid;0,140491;Liderazgo y trabajo en equipo;nosotros 2;nnlid
386;yrel;nnlid;0,127754;Liderazgo y trabajo en equipo;nosotros 2;nnlid
387;ycov;nnlid;0,09359;Liderazgo y trabajo en equipo;nosotros 2;nnlid
388;hijos;nnlid;0,091588;Liderazgo y trabajo en equipo;nosotros 2;nnlid
389;ypay;nnlid;0,086909;Liderazgo y trabajo en equipo;nosotros 2;nnlid
390;nivel del cargo;nnlid;0,085362;Liderazgo y trabajo en equipo;nosotros 2;nnlid
391;ncox;nnlid;0,08385;Liderazgo y trabajo en equipo;nosotros 2;nnlid
392;yrec;nnlid;0,075819;Liderazgo y trabajo en equipo;nosotros 2;nnlid
393;yent;nnlid;0,073073;Liderazgo y trabajo en equipo;nosotros 2;nnlid
394;antigüedad en la organización;nnlid;0,068663;Liderazgo y trabajo en equipo;nosotros 2;nnlid
395;ycox;nnlid;0,062661;Liderazgo y trabajo en equipo;nosotros 2;nnlid
396;yret;nnlid;0,046633;Liderazgo y trabajo en equipo;nosotros 2;nnlid
397;ycon;nnlid;0,040137;Liderazgo y trabajo en equipo;nosotros 2;nnlid
398;ypro;nnlid;0,0;Liderazgo y trabajo en equipo;nosotros 2;nnlid
399;antigüedad en el cargo;nnlid;0,0;Liderazgo y trabajo en equipo;nosotros 2;nnlid
400;yinn;nnlid;0,0;Liderazgo y trabajo en equipo;nosotros 2;nnlid
401;ytom;nnlid;0,0;Liderazgo y trabajo en equipo;nosotros 2;nnlid
402;yorg;nnlid;0,0;Liderazgo y trabajo en equipo;nosotros 2;nnlid
403;ysup;nnlid;0,0;Liderazgo y trabajo en equipo;nosotros 2;nnlid
404;genero;nnlid;0,0;Liderazgo y trabajo en equipo;nosotros 2;nnlid
405;estado civil;nnlid;0,0;Liderazgo y trabajo en equipo;nosotros 2;nnlid
406;tret;ttcox;0,529583;Conexion;todos 2;ttcox
407;tcox;ttcox;0,447539;Conexion;todos 2;ttcox
408;tpro;ttcox;0,410135;Conexion;todos 2;ttcox
409;tsup;ttcox;0,359205;Conexion;todos 2;ttcox
410;tlid;ttcox;0,355383;Conexion;todos 2;ttcox
411;ttom;ttcox;0,352796;Conexion;todos 2;ttcox
412;nnret;ttcox;0,300107;Conexion;todos 2;ttcox
