id,index,y1,y2,y3,y4,y5,y6,y7,y8,y10,y11,y12,y14,y15,y17,y19,y20,y22,y23,y26,n27,n28,n29,n30,n31,n32,n33,n34,n36,n37,n38,n40,n41,n43,n45,n46,n48,n49,n52,n53,n54,n55,n56,n57,n58,n59,n60,n62,n63,n64,n66,n67,n69,n71,n72,n74,n75,n78,t79,t80,t81,t82,t83,t84,t85,t86,t88,t89,t90,t92,t93,t95,t97,t98,t100,t101,t104,t105,t106,t107,t108,t109,t110,t111,t112,t114,t115,t116,t118,t119,t121,t123,t124,t126,t127,t130,edad,antigüedad en la organización,educacion,hijos,estado civil,area,nivel del cargo,genero,antigüedad en el cargo,Conexion,Equilibrio,Proposito,Orgullo (eNps),Pedir ayuda,Contribucion,Retroalimentacion,Reconocimiento,Liderazgo y trabajo en equipo,Rituales,Comunicacion,Conversaciones,Entorno saludable,Innovacion,Adaptabilidad,Toma de decisiones,Empoderamiento,Relaciones,Superar metas,edad_bkt,antigüedad en el cargo bkt,antigüedad en la organización bkt
10,ajwh5czlqsobaj5gpqj7flntalbp5yhx,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,1.0,5.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,1.0,3.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,"37,0","5,0",ingenieria sistemas,2.0,casado,backend,analista III,femenino,"4,0","4,0","2,8","1,8","3,6","3,2","2,4","2,0","2,0","2,6","4,2","4,2","3,6","4,0","3,2","3,8","2,8","3,2","2,8","2,6",35-45,3-5,3-5
11,7gbgdlboxfgszl47xbkt7gbgw4fobbhf,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,2.0,5.0,3.0,5.0,5.0,"35,0","4,0",ingenieria electrica,1.0,soltero,soporte,analista III,otro,"1,0","2,8","3,2","2,6","3,4","3,6","3,4","2,2","2,8","3,0","3,0","4,2","4,0","2,8","3,6","3,4","4,4","3,2","4,4","2,8",25-35,0-1,3-5
12,14fdq24rb663809r3t5ajs14fdq45e8k,4.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,5.0,2.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,5.0,3.0,5.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,"20,0","4,0",sicologo,1.0,casado,gh,analista III,masculino,"1,0","2,8","2,2","2,8","3,4","2,8","2,8","3,2","2,8","2,8","2,0","2,8","2,6","2,6","3,4","3,4","3,6","2,4","3,0","3,4",18-25,0-1,3-5
13,qalptyo5f6dxok2hwyqalptytjulja36,4.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0,2.0,1.0,5.0,5.0,2.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,"26,0","3,0",ingenieria sistemas,2.0,soltero,frontend,analista III,femenino,"1,0","3,6","2,8","2,6","4,4","3,2","3,2","2,4","3,0","3,8","3,6","3,2","3,4","3,2","2,8","3,8","4,0","3,4","3,0","3,6",25-35,0-1,1-3
14,c0nmrp8r2yo75knqxz0s3h6ip0c0nmrp,1.0,4.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,5.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,1.0,1.0,3.0,5.0,5.0,5.0,"36,0","5,0",matematica,1.0,casado,analista,jefe II,otro,"3,0","3,2","3,2","3,2","4,2","3,2","3,6","4,0","4,8","3,6","4,0","3,6","3,6","3,4","2,4","1,8","2,8","3,2","4,4","4,2",35-45,1-3,3-5
15,by9fzl29ox7odh65cmxby9fzl0epzssj,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,"44,0","3,0",ingenieria sistemas,3.0,soltero,backend,analista II,masculino,"1,0","4,2","4,2","4,4","5,0","5,0","5,0","4,4","5,0","4,8","3,8","5,0","4,4","4,4","4,6","4,4","5,0","4,6","3,8","4,8",35-45,0-1,1-3
16,sazukn04qo6axs1w4sazud2l8sdbhwyb,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"29,0","4,0",ingenieria electrica,4.0,casado,soporte,jefe II,femenino,"2,0","4,4","4,8","5,0","4,8","5,0","5,0","4,2","4,8","5,0","5,0","5,0","4,8","4,0","5,0","4,8","5,0","5,0","5,0","4,8",25-35,1-3,3-5
17,5cz8ncvvdl3pyh5d5cz8ncediat4zlvs,4.0,4.0,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,5.0,5.0,2.0,5.0,1.0,5.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,1.0,5.0,4.0,1.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,"30,0","1,0",sicologo,3.0,soltero,gh,analista II,otro,"1,0","3,4","3,0","2,4","3,6","3,8","2,6","3,8","3,2","3,2","2,4","3,6","3,0","3,8","2,8","3,8","4,2","2,8","3,4","2,8",25-35,0-1,0-1
18,7h1dkovtwdq9oev37hcel0xpiuri4ae5,2.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,"34,0","1,0",ingenieria sistemas,3.0,casado,frontend,jefe II,masculino,"3,0","2,8","3,0","2,6","3,0","3,6","2,6","2,4","2,2","3,2","3,4","3,8","3,8","3,0","3,4","3,8","3,0","3,4","3,4","3,0",25-35,1-3,0-1
19,5urp88htuchik9y0f30g5urp8dqa3aqg,4.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,"29,0","2,0",ingenieria industrial,0.0,soltero,analista,jefe I,femenino,"3,0","4,8","4,4","4,8","5,0","5,0","4,8","4,4","4,0","4,4","4,4","5,0","3,8","4,8","4,8","4,4","5,0","4,8","4,8","5,0",25-35,1-3,1-3
20,h289erd2vmcis8swq578wkah289erw0b,4.0,2.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,"31,0","5,0",ingenieria sistemas,4.0,casado,backend,analista III,otro,"3,0","4,2","4,0","4,4","5,0","3,4","4,2","4,4","4,0","4,8","3,6","4,4","4,4","4,6","4,6","4,4","4,8","4,2","4,4","4,8",25-35,1-3,3-5
