index,y1,y2,y3,y4,y5,y6,y7,y8,y10,y11,y12,y14,y15,y17,y19,y20,y22,y23,y26,n27,n28,n29,n30,n31,n32,n33,n34,n36,n37,n38,n40,n41,n43,n45,n46,n48,n49,n52,n53,n54,n55,n56,n57,n58,n59,n60,n62,n63,n64,n66,n67,n69,n71,n72,n74,n75,n78,t79,t80,t81,t82,t83,t84,t85,t86,t88,t89,t90,t92,t93,t95,t97,t98,t100,t101,t104,t105,t106,t107,t108,t109,t110,t111,t112,t114,t115,t116,t118,t119,t121,t123,t124,t126,t127,t130
aijzrw93lclfh1bfthm7jaijzrdrcogu,4.0,1.0,2.0,2.0,2.0,5.0,1.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0
f2t54lknkpx22ck7ag0f2t54ltuiuqyd,4.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,5.0,2.0,5.0,2.0,3.0,4.0,1.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,2.0,5.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0
zidt5d3wfvsv8hzidmgmcu2su3bi7zvy,2.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,2.0,5.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0
fp3rgkthblrl3fpb1xbpnpma3nx61ijo,4.0,5.0,1.0,2.0,2.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,5.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,2.0,5.0,4.0,3.0,2.0,1.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0
xu5sv0zoj2vd1wccqn4u8vxu5sv0zhbd,2.0,2.0,1.0,2.0,5.0,1.0,5.0,4.0,1.0,4.0,2.0,5.0,5.0,1.0,5.0,1.0,5.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,4.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0
hl5hd2s3n9voyevvzhl5hdqzkf42ua9b,1.0,4.0,5.0,1.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0
o89n5bundaxjitqa3fw2o89n5xgw1ikh,4.0,4.0,5.0,2.0,2.0,5.0,4.0,5.0,1.0,2.0,4.0,2.0,4.0,4.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0
tz6toahqc7k19iqothc468dtz6toa7va,2.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
dl5aex87klt8ai2c1odl5hogs2plwghh,2.0,4.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
ls4vwuu5q02fr8sd2ls4vwu2dvd9loie,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,2.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0
y4pivmr8wipyh93sy4pivl776fkts5pe,4.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,3.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
syeql32khf7oqhusyeql3ewferu4pp7x,5.0,2.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,5.0,4.0,1.0,5.0,5.0,2.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,1.0,4.0,4.0,5.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,1.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0
8a73jnztcdtro8kka8a73j5emcod9q4q,1.0,5.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,1.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0
m45d3tpopofru3jsipz14wnm45d3tpol,2.0,4.0,1.0,2.0,4.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,1.0,5.0,3.0,5.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
8ovi51x1bwfzr9s20hn2g8ovi5tr7jop,1.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0
o57htf72zrxtq7w49l7two57htfq9nx1,1.0,2.0,5.0,1.0,2.0,5.0,5.0,4.0,1.0,2.0,1.0,4.0,4.0,5.0,5.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,2.0,2.0,4.0,3.0,5.0,3.0,1.0,2.0,4.0,1.0,3.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0
1u4co82nfnuswpois1u4cchq1u2glkk4,5.0,4.0,5.0,4.0,2.0,4.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,5.0,3.0,5.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0
8oistajse95k3ti2fed8oista7vrqt7d,2.0,4.0,1.0,2.0,4.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
zayos6bjg3ab23v1053oxzayos6bztsv,2.0,2.0,1.0,5.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,1.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,1.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
t1ca0o57rw6471s5mext1ca0o5o16dcu,1.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,5.0,2.0,3.0,5.0,1.0,2.0,2.0,1.0,4.0,5.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,1.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0
mb82hk8i1k545ughremb82cqaykyibve,2.0,4.0,1.0,2.0,5.0,4.0,5.0,4.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,5.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,5.0,4.0,5.0,3.0,2.0,2.0,5.0,3.0,5.0,1.0,3.0,2.0,3.0,5.0,3.0,2.0,5.0,1.0,5.0,5.0,4.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,5.0,1.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0
g40webd360084tupg4fz6mxbknqqe3zd,1.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,1.0,2.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
7kh4ufxrjnvfi347kh4og1edlkemkkes,2.0,2.0,5.0,2.0,4.0,1.0,4.0,5.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,1.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0
slakrtgssdo9xko0ydfslakrtoiou3og,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,1.0,5.0,3.0,2.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
afmw9ydbel00p2rlafmw9ydbhh2za2b7,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
imcxo1hofswli70fsimcxonc1sncnie8,5.0,5.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,5.0,1.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,5.0,5.0,1.0,5.0,2.0,1.0,1.0,5.0,4.0,2.0,3.0,1.0,2.0,5.0,1.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,1.0,5.0,1.0,3.0,3.0,1.0,5.0,3.0,5.0,3.0,1.0,3.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0
gjbx8ft23408bq0u6gjbx8f7u3xggs2k,2.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,5.0,5.0,1.0,3.0,3.0,5.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,5.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,1.0,2.0,3.0,2.0,5.0,5.0,4.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
y5rz0eeajeiucc9mjy5r1960a1h2wtzf,4.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,4.0,5.0,1.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,4.0,3.0
a0v1xa2d4btntzau3sla0v1xamrism0o,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,5.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0
kw8ojyjjcxa3fkwst8e2avqxkz27s6rc,2.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,4.0,5.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0
961tubwsq9ym2v7961tuz4gvgevwjmr4,2.0,4.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0
xhf7njxb691qe96fxhf7ngdvvdg4ashc,5.0,2.0,5.0,5.0,2.0,1.0,2.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
3k8shumjpsobl5mlp3k8shp48hzxkzcd,1.0,4.0,4.0,2.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0
