index,y1,y2,y3,y4,y5,y6,y7,y8,y10,y11,y12,y14,y15,y17,y19,y20,y22,y23,y26,n27,n28,n29,n30,n31,n32,n33,n34,n36,n37,n38,n40,n41,n43,n45,n46,n48,n49,n52,n53,n54,n55,n56,n57,n58,n59,n60,n62,n63,n64,n66,n67,n69,n71,n72,n74,n75,n78,t79,t80,t81,t82,t83,t84,t85,t86,t88,t89,t90,t92,t93,t95,t97,t98,t100,t101,t104,t105,t106,t107,t108,t109,t110,t111,t112,t114,t115,t116,t118,t119,t121,t123,t124,t126,t127,t130
y9b3w9wfwaiq9fry96nnsd235btt7tby,5.0,4.0,1.0,2.0,2.0,1.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
ke73qs04g2ax83064ke73el6035cz5yf,2.0,1.0,2.0,4.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,5.0,2.0,1.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0
3vdbwseked0hvaeyqcf8nmkq3vdbw8p0,2.0,5.0,5.0,2.0,5.0,2.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,3.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0
6hng12s3pvtj276hnhxjv92egiosos98,2.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,2.0,5.0,1.0,4.0,1.0,5.0,2.0,5.0,5.0,1.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
6qoyvs8iumj86qhe6x6ecmgiqwor5yf5,4.0,4.0,5.0,2.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
f33yfn2j1zf3327slmwektriopoj9yj2,2.0,4.0,5.0,2.0,2.0,1.0,5.0,4.0,4.0,2.0,5.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,1.0,3.0,3.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0
ob43j0ucqiut6eakv4pfzqwob43jekbk,4.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,1.0,5.0,5.0,4.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0
fl9k5rad7gfo5utfl9k5vd102u24bzqk,2.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,2.0,2.0,3.0,1.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0
nj9eib5qxl7lyvwenj959a6p6isbof7f,4.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0
q8jv14xd81vqrlqqwxq8jvzcz1n5bvo3,5.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0
